H;1;1;0.32125
H;2;1;0.34297
N;3;3;-0.34021
H;4;1;0.31765
C;5;5;-0.06157
H;6;6;0.19735
C;7;7;-0.27772
C;8;8;0.40312
H;9;9;0.14911
H;10;9;0.1917
C;11;11;-0.2724
O;12;12;-0.35637
H;13;13;0.16748
H;14;13;0.1385
C;15;15;-0.16319
H;16;16;0.15934
H;17;16;0.16873
N;18;18;-0.30852
H;19;19;0.30502
C;20;20;0.41384
N;21;21;-0.45278
N;22;21;-0.45582
H;23;23;0.31979
H;24;23;0.32968
H;25;23;0.32392
H;26;23;0.32842
N;27;27;-0.38936
H;28;28;0.28257
C;29;29;-0.32879
H;30;30;0.18249
H;31;30;0.18735
H;32;30;0.17644
