C;1;1;0.719516
O;2;2;-0.505478
C;3;3;-0.514442
H;4;4;0.148734
H;5;4;0.140375
H;6;4;0.169866
N;7;7;-0.684366
H;8;8;0.359621
C;9;9;0.173356
H;10;10;0.097665
C;11;11;-0.543186
C;12;12;0.661492
H;13;13;0.167763
H;14;13;0.153651
C;15;15;0.36113
O;16;16;-0.506119
H;17;17;0.007144
H;18;17;-0.027194
C;19;19;-0.113502
H;20;20;0.098744
H;21;20;0.102359
N;22;22;-0.461391
H;23;23;0.310578
C;24;24;0.829558
N;25;25;-0.828598
N;26;25;-0.987221
H;27;27;0.419955
H;28;27;0.441952
H;29;27;0.482002
H;30;27;0.482263
O;31;31;-0.5953
H;32;32;0.439069
