C;1;1;0.69376273
O;2;2;-0.52267224
C;3;3;-0.5286365
H;4;4;0.14732225
H;5;4;0.14732225
H;6;4;0.14732225
N;7;7;-0.55238629
H;8;8;0.2991827
C;9;9;0.03517974
H;10;10;0.09103626
C;11;11;-0.38135927
C;12;12;0.69374871
H;13;13;0.12338283
H;14;13;0.12338283
C;15;15;0.79835091
O;16;16;-0.53085901
O;17;17;-0.52994397
N;18;18;-1.02171343
H;19;19;0.42599899
H;20;19;0.42599899
N;21;21;-0.62127995
H;22;22;0.3283569
C;23;23;0.0300687
H;24;24;0.05947787
H;25;24;0.05947787
H;26;24;0.05947787
