H;1;1;0.14192582
H;2;1;0.14192582
N;3;3;-0.45919598
H;4;4;0.27738777
C;5;5;-0.07198107
H;6;6;0.13153306
C;7;7;-0.40094445
C;8;8;0.82068209
H;9;9;0.19225445
H;10;9;0.19225445
C;11;11;0.17135885
O;12;12;-0.54210071
N;13;13;-0.1825138
C;14;14;-0.14040009
H;15;15;0.34993842
C;16;16;0.009863
N;17;17;-0.18057561
H;18;18;0.22514829
H;19;19;0.23053889
H;20;20;0.37675242
N;21;21;-0.73457198
H;22;22;0.3651377
C;23;23;0.04261646
H;24;24;0.07662371
H;25;24;0.07662371
H;26;24;0.07662371
