C;1;1;0.68210937
O;2;2;-0.5327077
C;3;3;-0.47534497
H;4;4;0.13358611
H;5;4;0.13358611
H;6;4;0.13358611
N;7;7;-0.55388096
H;8;8;0.29899515
C;9;9;0.03586387
H;10;10;0.10426421
C;11;11;-0.3504657
C;12;12;0.66262982
H;13;13;0.11600113
H;14;13;0.11600113
C;15;15;0.27284996
O;16;16;-0.51836117
C;17;17;-0.25166702
C;18;17;-0.25166702
H;19;19;0.14683478
C;20;20;-0.09223988
C;21;20;-0.09223988
H;22;19;0.14683478
H;23;23;0.12606607
C;24;24;-0.17848468
H;25;23;0.12606607
H;26;26;0.13659933
N;27;27;-0.58704425
H;28;28;0.31136865
C;29;29;0.02505434
H;30;30;0.05860208
H;31;30;0.05860208
H;32;30;0.05860208
