H;1;1;0.13358611
N;2;2;-0.55388096
H;3;3;0.29899515
C;4;4;0.03586387
H;5;5;0.10426421
C;6;6;-0.3504657
C;7;7;0.66262982
H;8;8;0.11600113
H;9;8;0.11600113
C;10;10;0.27284996
O;11;11;-0.51836117
C;12;12;-0.25166702
C;13;12;-0.25166702
H;14;14;0.14683478
C;15;15;-0.09223988
C;16;15;-0.09223988
H;17;14;0.14683478
H;18;18;0.12606607
C;19;19;-0.17848468
H;20;18;0.12606607
H;21;21;0.13659933
N;22;22;-0.58704425
H;23;23;0.31136865
C;24;24;0.02505434
H;25;25;0.05860208
H;26;25;0.05860208
H;27;25;0.05860208
