C;1;1;0.42051
O;2;2;-0.46321
C;3;3;-0.49064
H;4;4;0.16187
H;5;4;0.1643
H;6;4;0.178
N;7;7;-0.37646
H;8;8;0.27264
C;9;9;-0.05108
H;10;10;0.16262
C;11;11;-0.27553
C;12;12;0.41473
H;13;13;0.14625
H;14;13;0.14121
C;15;15;-0.01739
O;16;16;-0.46868
C;17;17;-0.14741
C;18;17;-0.1449
H;19;19;0.15001
C;20;20;-0.2082
C;21;20;-0.18391
H;22;19;0.15247
H;23;23;0.14953
C;24;24;0.21724
H;25;23;0.16486
O;26;26;-0.49434
H;27;27;0.36901
N;28;28;-0.36307
H;29;29;0.26877
C;30;30;-0.32708
H;31;31;0.14933
H;32;31;0.14901
H;33;31;0.17954
